file_path,emotion
calm\classical_classical.00000.wav,calm
calm\classical_classical.00001.wav,calm
calm\classical_classical.00002.wav,calm
calm\classical_classical.00003.wav,calm
calm\classical_classical.00004.wav,calm
calm\classical_classical.00005.wav,calm
calm\classical_classical.00006.wav,calm
calm\classical_classical.00007.wav,calm
calm\classical_classical.00008.wav,calm
calm\classical_classical.00009.wav,calm
calm\classical_classical.00010.wav,calm
calm\classical_classical.00011.wav,calm
calm\classical_classical.00012.wav,calm
calm\classical_classical.00013.wav,calm
calm\classical_classical.00014.wav,calm
calm\classical_classical.00015.wav,calm
calm\classical_classical.00016.wav,calm
calm\classical_classical.00017.wav,calm
calm\classical_classical.00018.wav,calm
calm\classical_classical.00019.wav,calm
calm\classical_classical.00020.wav,calm
calm\classical_classical.00021.wav,calm
calm\classical_classical.00022.wav,calm
calm\classical_classical.00023.wav,calm
calm\classical_classical.00024.wav,calm
calm\classical_classical.00025.wav,calm
calm\classical_classical.00026.wav,calm
calm\classical_classical.00027.wav,calm
calm\classical_classical.00028.wav,calm
calm\classical_classical.00029.wav,calm
calm\classical_classical.00030.wav,calm
calm\classical_classical.00031.wav,calm
calm\classical_classical.00032.wav,calm
calm\classical_classical.00033.wav,calm
calm\classical_classical.00034.wav,calm
calm\classical_classical.00035.wav,calm
calm\classical_classical.00036.wav,calm
calm\classical_classical.00037.wav,calm
calm\classical_classical.00038.wav,calm
calm\classical_classical.00039.wav,calm
calm\classical_classical.00040.wav,calm
calm\classical_classical.00041.wav,calm
calm\classical_classical.00042.wav,calm
calm\classical_classical.00043.wav,calm
calm\classical_classical.00044.wav,calm
calm\classical_classical.00045.wav,calm
calm\classical_classical.00046.wav,calm
calm\classical_classical.00047.wav,calm
calm\classical_classical.00048.wav,calm
calm\classical_classical.00049.wav,calm
calm\classical_classical.00050.wav,calm
calm\classical_classical.00051.wav,calm
calm\classical_classical.00052.wav,calm
calm\classical_classical.00053.wav,calm
calm\classical_classical.00054.wav,calm
calm\classical_classical.00055.wav,calm
calm\classical_classical.00056.wav,calm
calm\classical_classical.00057.wav,calm
calm\classical_classical.00058.wav,calm
calm\classical_classical.00059.wav,calm
calm\classical_classical.00060.wav,calm
calm\classical_classical.00061.wav,calm
calm\classical_classical.00062.wav,calm
calm\classical_classical.00063.wav,calm
calm\classical_classical.00064.wav,calm
calm\classical_classical.00065.wav,calm
calm\classical_classical.00066.wav,calm
calm\classical_classical.00067.wav,calm
calm\classical_classical.00068.wav,calm
calm\classical_classical.00069.wav,calm
calm\classical_classical.00070.wav,calm
calm\classical_classical.00071.wav,calm
calm\classical_classical.00072.wav,calm
calm\classical_classical.00073.wav,calm
calm\classical_classical.00074.wav,calm
calm\classical_classical.00075.wav,calm
calm\classical_classical.00076.wav,calm
calm\classical_classical.00077.wav,calm
calm\classical_classical.00078.wav,calm
calm\classical_classical.00079.wav,calm
calm\classical_classical.00080.wav,calm
calm\classical_classical.00081.wav,calm
calm\classical_classical.00082.wav,calm
calm\classical_classical.00083.wav,calm
calm\classical_classical.00084.wav,calm
calm\classical_classical.00085.wav,calm
calm\classical_classical.00086.wav,calm
calm\classical_classical.00087.wav,calm
calm\classical_classical.00088.wav,calm
calm\classical_classical.00089.wav,calm
calm\classical_classical.00090.wav,calm
calm\classical_classical.00091.wav,calm
calm\classical_classical.00092.wav,calm
calm\classical_classical.00093.wav,calm
calm\classical_classical.00094.wav,calm
calm\classical_classical.00095.wav,calm
calm\classical_classical.00096.wav,calm
calm\classical_classical.00097.wav,calm
calm\classical_classical.00098.wav,calm
calm\classical_classical.00099.wav,calm
calm\jazz_jazz.00000.wav,calm
calm\jazz_jazz.00001.wav,calm
calm\jazz_jazz.00002.wav,calm
calm\jazz_jazz.00003.wav,calm
calm\jazz_jazz.00004.wav,calm
calm\jazz_jazz.00005.wav,calm
calm\jazz_jazz.00006.wav,calm
calm\jazz_jazz.00007.wav,calm
calm\jazz_jazz.00008.wav,calm
calm\jazz_jazz.00009.wav,calm
calm\jazz_jazz.00010.wav,calm
calm\jazz_jazz.00011.wav,calm
calm\jazz_jazz.00012.wav,calm
calm\jazz_jazz.00013.wav,calm
calm\jazz_jazz.00014.wav,calm
calm\jazz_jazz.00015.wav,calm
calm\jazz_jazz.00016.wav,calm
calm\jazz_jazz.00017.wav,calm
calm\jazz_jazz.00018.wav,calm
calm\jazz_jazz.00019.wav,calm
calm\jazz_jazz.00020.wav,calm
calm\jazz_jazz.00021.wav,calm
calm\jazz_jazz.00022.wav,calm
calm\jazz_jazz.00023.wav,calm
calm\jazz_jazz.00024.wav,calm
calm\jazz_jazz.00025.wav,calm
calm\jazz_jazz.00026.wav,calm
calm\jazz_jazz.00027.wav,calm
calm\jazz_jazz.00028.wav,calm
calm\jazz_jazz.00029.wav,calm
calm\jazz_jazz.00030.wav,calm
calm\jazz_jazz.00031.wav,calm
calm\jazz_jazz.00032.wav,calm
calm\jazz_jazz.00033.wav,calm
calm\jazz_jazz.00034.wav,calm
calm\jazz_jazz.00035.wav,calm
calm\jazz_jazz.00036.wav,calm
calm\jazz_jazz.00037.wav,calm
calm\jazz_jazz.00038.wav,calm
calm\jazz_jazz.00039.wav,calm
calm\jazz_jazz.00040.wav,calm
calm\jazz_jazz.00041.wav,calm
calm\jazz_jazz.00042.wav,calm
calm\jazz_jazz.00043.wav,calm
calm\jazz_jazz.00044.wav,calm
calm\jazz_jazz.00045.wav,calm
calm\jazz_jazz.00046.wav,calm
calm\jazz_jazz.00047.wav,calm
calm\jazz_jazz.00048.wav,calm
calm\jazz_jazz.00049.wav,calm
calm\jazz_jazz.00050.wav,calm
calm\jazz_jazz.00051.wav,calm
calm\jazz_jazz.00052.wav,calm
calm\jazz_jazz.00053.wav,calm
calm\jazz_jazz.00055.wav,calm
calm\jazz_jazz.00056.wav,calm
calm\jazz_jazz.00057.wav,calm
calm\jazz_jazz.00058.wav,calm
calm\jazz_jazz.00059.wav,calm
calm\jazz_jazz.00060.wav,calm
calm\jazz_jazz.00061.wav,calm
calm\jazz_jazz.00062.wav,calm
calm\jazz_jazz.00063.wav,calm
calm\jazz_jazz.00064.wav,calm
calm\jazz_jazz.00065.wav,calm
calm\jazz_jazz.00066.wav,calm
calm\jazz_jazz.00067.wav,calm
calm\jazz_jazz.00068.wav,calm
calm\jazz_jazz.00069.wav,calm
calm\jazz_jazz.00070.wav,calm
calm\jazz_jazz.00071.wav,calm
calm\jazz_jazz.00072.wav,calm
calm\jazz_jazz.00073.wav,calm
calm\jazz_jazz.00074.wav,calm
calm\jazz_jazz.00075.wav,calm
calm\jazz_jazz.00076.wav,calm
calm\jazz_jazz.00077.wav,calm
calm\jazz_jazz.00078.wav,calm
calm\jazz_jazz.00079.wav,calm
calm\jazz_jazz.00080.wav,calm
calm\jazz_jazz.00081.wav,calm
calm\jazz_jazz.00082.wav,calm
calm\jazz_jazz.00083.wav,calm
calm\jazz_jazz.00084.wav,calm
calm\jazz_jazz.00085.wav,calm
calm\jazz_jazz.00086.wav,calm
calm\jazz_jazz.00087.wav,calm
calm\jazz_jazz.00088.wav,calm
calm\jazz_jazz.00089.wav,calm
calm\jazz_jazz.00090.wav,calm
calm\jazz_jazz.00091.wav,calm
calm\jazz_jazz.00092.wav,calm
calm\jazz_jazz.00093.wav,calm
calm\jazz_jazz.00094.wav,calm
calm\jazz_jazz.00095.wav,calm
calm\jazz_jazz.00096.wav,calm
calm\jazz_jazz.00097.wav,calm
calm\jazz_jazz.00098.wav,calm
calm\jazz_jazz.00099.wav,calm
calm\reggae_reggae.00000.wav,calm
calm\reggae_reggae.00001.wav,calm
calm\reggae_reggae.00002.wav,calm
calm\reggae_reggae.00003.wav,calm
calm\reggae_reggae.00004.wav,calm
calm\reggae_reggae.00005.wav,calm
calm\reggae_reggae.00006.wav,calm
calm\reggae_reggae.00007.wav,calm
calm\reggae_reggae.00008.wav,calm
calm\reggae_reggae.00009.wav,calm
calm\reggae_reggae.00010.wav,calm
calm\reggae_reggae.00011.wav,calm
calm\reggae_reggae.00012.wav,calm
calm\reggae_reggae.00013.wav,calm
calm\reggae_reggae.00014.wav,calm
calm\reggae_reggae.00015.wav,calm
calm\reggae_reggae.00016.wav,calm
calm\reggae_reggae.00017.wav,calm
calm\reggae_reggae.00018.wav,calm
calm\reggae_reggae.00019.wav,calm
calm\reggae_reggae.00020.wav,calm
calm\reggae_reggae.00021.wav,calm
calm\reggae_reggae.00022.wav,calm
calm\reggae_reggae.00023.wav,calm
calm\reggae_reggae.00024.wav,calm
calm\reggae_reggae.00025.wav,calm
calm\reggae_reggae.00026.wav,calm
calm\reggae_reggae.00027.wav,calm
calm\reggae_reggae.00028.wav,calm
calm\reggae_reggae.00029.wav,calm
calm\reggae_reggae.00030.wav,calm
calm\reggae_reggae.00031.wav,calm
calm\reggae_reggae.00032.wav,calm
calm\reggae_reggae.00033.wav,calm
calm\reggae_reggae.00034.wav,calm
calm\reggae_reggae.00035.wav,calm
calm\reggae_reggae.00036.wav,calm
calm\reggae_reggae.00037.wav,calm
calm\reggae_reggae.00038.wav,calm
calm\reggae_reggae.00039.wav,calm
calm\reggae_reggae.00040.wav,calm
calm\reggae_reggae.00041.wav,calm
calm\reggae_reggae.00042.wav,calm
calm\reggae_reggae.00043.wav,calm
calm\reggae_reggae.00044.wav,calm
calm\reggae_reggae.00045.wav,calm
calm\reggae_reggae.00046.wav,calm
calm\reggae_reggae.00047.wav,calm
calm\reggae_reggae.00048.wav,calm
calm\reggae_reggae.00049.wav,calm
calm\reggae_reggae.00050.wav,calm
calm\reggae_reggae.00051.wav,calm
calm\reggae_reggae.00052.wav,calm
calm\reggae_reggae.00053.wav,calm
calm\reggae_reggae.00054.wav,calm
calm\reggae_reggae.00055.wav,calm
calm\reggae_reggae.00056.wav,calm
calm\reggae_reggae.00057.wav,calm
calm\reggae_reggae.00058.wav,calm
calm\reggae_reggae.00059.wav,calm
calm\reggae_reggae.00060.wav,calm
