file_path,emotion,augmented,original_file
data/processed\calm_enhanced\classical_classical.00000_pitch_-2.wav,calm,True,data/processed\calm\classical_classical.00000.wav
data/processed\calm_enhanced\classical_classical.00000_pitch_-1.wav,calm,True,data/processed\calm\classical_classical.00000.wav
data/processed\calm_enhanced\classical_classical.00000_pitch_+1.wav,calm,True,data/processed\calm\classical_classical.00000.wav
data/processed\calm_enhanced\classical_classical.00000_pitch_+2.wav,calm,True,data/processed\calm\classical_classical.00000.wav
data/processed\calm_enhanced\classical_classical.00000_stretch_0.8.wav,calm,True,data/processed\calm\classical_classical.00000.wav
data/processed\calm_enhanced\classical_classical.00000_stretch_0.9.wav,calm,True,data/processed\calm\classical_classical.00000.wav
data/processed\calm_enhanced\classical_classical.00000_stretch_1.1.wav,calm,True,data/processed\calm\classical_classical.00000.wav
data/processed\calm_enhanced\classical_classical.00000_stretch_1.2.wav,calm,True,data/processed\calm\classical_classical.00000.wav
data/processed\calm_enhanced\classical_classical.00000_noise_0.005.wav,calm,True,data/processed\calm\classical_classical.00000.wav
data/processed\calm_enhanced\classical_classical.00000_noise_0.010.wav,calm,True,data/processed\calm\classical_classical.00000.wav
data/processed\calm_enhanced\classical_classical.00001_pitch_-2.wav,calm,True,data/processed\calm\classical_classical.00001.wav
data/processed\calm_enhanced\classical_classical.00001_pitch_-1.wav,calm,True,data/processed\calm\classical_classical.00001.wav
data/processed\calm_enhanced\classical_classical.00001_pitch_+1.wav,calm,True,data/processed\calm\classical_classical.00001.wav
data/processed\calm_enhanced\classical_classical.00001_pitch_+2.wav,calm,True,data/processed\calm\classical_classical.00001.wav
data/processed\calm_enhanced\classical_classical.00001_stretch_0.8.wav,calm,True,data/processed\calm\classical_classical.00001.wav
data/processed\calm_enhanced\classical_classical.00001_stretch_0.9.wav,calm,True,data/processed\calm\classical_classical.00001.wav
data/processed\calm_enhanced\classical_classical.00001_stretch_1.1.wav,calm,True,data/processed\calm\classical_classical.00001.wav
data/processed\calm_enhanced\classical_classical.00001_stretch_1.2.wav,calm,True,data/processed\calm\classical_classical.00001.wav
data/processed\calm_enhanced\classical_classical.00001_noise_0.005.wav,calm,True,data/processed\calm\classical_classical.00001.wav
data/processed\calm_enhanced\classical_classical.00001_noise_0.010.wav,calm,True,data/processed\calm\classical_classical.00001.wav
data/processed\calm_enhanced\classical_classical.00002_pitch_-2.wav,calm,True,data/processed\calm\classical_classical.00002.wav
data/processed\calm_enhanced\classical_classical.00002_pitch_-1.wav,calm,True,data/processed\calm\classical_classical.00002.wav
data/processed\calm_enhanced\classical_classical.00002_pitch_+1.wav,calm,True,data/processed\calm\classical_classical.00002.wav
data/processed\calm_enhanced\classical_classical.00002_pitch_+2.wav,calm,True,data/processed\calm\classical_classical.00002.wav
data/processed\calm_enhanced\classical_classical.00002_stretch_0.8.wav,calm,True,data/processed\calm\classical_classical.00002.wav
data/processed\calm_enhanced\classical_classical.00002_stretch_0.9.wav,calm,True,data/processed\calm\classical_classical.00002.wav
data/processed\calm_enhanced\classical_classical.00002_stretch_1.1.wav,calm,True,data/processed\calm\classical_classical.00002.wav
data/processed\calm_enhanced\classical_classical.00002_stretch_1.2.wav,calm,True,data/processed\calm\classical_classical.00002.wav
data/processed\calm_enhanced\classical_classical.00002_noise_0.005.wav,calm,True,data/processed\calm\classical_classical.00002.wav
data/processed\calm_enhanced\classical_classical.00002_noise_0.010.wav,calm,True,data/processed\calm\classical_classical.00002.wav
data/processed\calm_enhanced\classical_classical.00003_pitch_-2.wav,calm,True,data/processed\calm\classical_classical.00003.wav
data/processed\calm_enhanced\classical_classical.00003_pitch_-1.wav,calm,True,data/processed\calm\classical_classical.00003.wav
data/processed\calm_enhanced\classical_classical.00003_pitch_+1.wav,calm,True,data/processed\calm\classical_classical.00003.wav
data/processed\calm_enhanced\classical_classical.00003_pitch_+2.wav,calm,True,data/processed\calm\classical_classical.00003.wav
data/processed\calm_enhanced\classical_classical.00003_stretch_0.8.wav,calm,True,data/processed\calm\classical_classical.00003.wav
data/processed\calm_enhanced\classical_classical.00003_stretch_0.9.wav,calm,True,data/processed\calm\classical_classical.00003.wav
data/processed\calm_enhanced\classical_classical.00003_stretch_1.1.wav,calm,True,data/processed\calm\classical_classical.00003.wav
data/processed\calm_enhanced\classical_classical.00003_stretch_1.2.wav,calm,True,data/processed\calm\classical_classical.00003.wav
data/processed\calm_enhanced\classical_classical.00003_noise_0.005.wav,calm,True,data/processed\calm\classical_classical.00003.wav
data/processed\calm_enhanced\classical_classical.00003_noise_0.010.wav,calm,True,data/processed\calm\classical_classical.00003.wav
data/processed\calm_enhanced\classical_classical.00004_pitch_-2.wav,calm,True,data/processed\calm\classical_classical.00004.wav
data/processed\calm_enhanced\classical_classical.00004_pitch_-1.wav,calm,True,data/processed\calm\classical_classical.00004.wav
data/processed\calm_enhanced\classical_classical.00004_pitch_+1.wav,calm,True,data/processed\calm\classical_classical.00004.wav
data/processed\calm_enhanced\classical_classical.00004_pitch_+2.wav,calm,True,data/processed\calm\classical_classical.00004.wav
data/processed\calm_enhanced\classical_classical.00004_stretch_0.8.wav,calm,True,data/processed\calm\classical_classical.00004.wav
data/processed\calm_enhanced\classical_classical.00004_stretch_0.9.wav,calm,True,data/processed\calm\classical_classical.00004.wav
data/processed\calm_enhanced\classical_classical.00004_stretch_1.1.wav,calm,True,data/processed\calm\classical_classical.00004.wav
data/processed\calm_enhanced\classical_classical.00004_stretch_1.2.wav,calm,True,data/processed\calm\classical_classical.00004.wav
data/processed\calm_enhanced\classical_classical.00004_noise_0.005.wav,calm,True,data/processed\calm\classical_classical.00004.wav
data/processed\calm_enhanced\classical_classical.00004_noise_0.010.wav,calm,True,data/processed\calm\classical_classical.00004.wav
data/processed\calm_enhanced\classical_classical.00005_pitch_-2.wav,calm,True,data/processed\calm\classical_classical.00005.wav
data/processed\calm_enhanced\classical_classical.00005_pitch_-1.wav,calm,True,data/processed\calm\classical_classical.00005.wav
data/processed\calm_enhanced\classical_classical.00005_pitch_+1.wav,calm,True,data/processed\calm\classical_classical.00005.wav
data/processed\calm_enhanced\classical_classical.00005_pitch_+2.wav,calm,True,data/processed\calm\classical_classical.00005.wav
data/processed\calm_enhanced\classical_classical.00005_stretch_0.8.wav,calm,True,data/processed\calm\classical_classical.00005.wav
data/processed\calm_enhanced\classical_classical.00005_stretch_0.9.wav,calm,True,data/processed\calm\classical_classical.00005.wav
data/processed\calm_enhanced\classical_classical.00005_stretch_1.1.wav,calm,True,data/processed\calm\classical_classical.00005.wav
data/processed\calm_enhanced\classical_classical.00005_stretch_1.2.wav,calm,True,data/processed\calm\classical_classical.00005.wav
data/processed\calm_enhanced\classical_classical.00005_noise_0.005.wav,calm,True,data/processed\calm\classical_classical.00005.wav
data/processed\calm_enhanced\classical_classical.00005_noise_0.010.wav,calm,True,data/processed\calm\classical_classical.00005.wav
data/processed\calm_enhanced\classical_classical.00006_pitch_-2.wav,calm,True,data/processed\calm\classical_classical.00006.wav
data/processed\calm_enhanced\classical_classical.00006_pitch_-1.wav,calm,True,data/processed\calm\classical_classical.00006.wav
data/processed\calm_enhanced\classical_classical.00006_pitch_+1.wav,calm,True,data/processed\calm\classical_classical.00006.wav
data/processed\calm_enhanced\classical_classical.00006_pitch_+2.wav,calm,True,data/processed\calm\classical_classical.00006.wav
data/processed\calm_enhanced\classical_classical.00006_stretch_0.8.wav,calm,True,data/processed\calm\classical_classical.00006.wav
data/processed\calm_enhanced\classical_classical.00006_stretch_0.9.wav,calm,True,data/processed\calm\classical_classical.00006.wav
data/processed\calm_enhanced\classical_classical.00006_stretch_1.1.wav,calm,True,data/processed\calm\classical_classical.00006.wav
data/processed\calm_enhanced\classical_classical.00006_stretch_1.2.wav,calm,True,data/processed\calm\classical_classical.00006.wav
data/processed\calm_enhanced\classical_classical.00006_noise_0.005.wav,calm,True,data/processed\calm\classical_classical.00006.wav
data/processed\calm_enhanced\classical_classical.00006_noise_0.010.wav,calm,True,data/processed\calm\classical_classical.00006.wav
data/processed\calm_enhanced\classical_classical.00007_pitch_-2.wav,calm,True,data/processed\calm\classical_classical.00007.wav
data/processed\calm_enhanced\classical_classical.00007_pitch_-1.wav,calm,True,data/processed\calm\classical_classical.00007.wav
